Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R95,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,111.047499,-41.937516,180.0,top
R96,100kΩ,R_0402_1005Metric-no-silkscreen-text,113.247499,-41.937516,180.0,top
R97,10kΩ,R_0402_1005Metric-no-silkscreen-text,72.2375,-42.037516,0.0,top
R98,1kΩ,R_0402_1005Metric-no-silkscreen-text,73.3375,-43.537516,90.0,top
R99,1kΩ,R_0402_1005Metric-no-silkscreen-text,74.5375,-41.437516,90.0,top
SW1,boot,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,26.062492,-86.022596,-90.0,top
SW2,reset,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,26.054288,-75.966356,-90.0,top
U1,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,63.781,-60.0924,0.0,top
U10,TLV431BQDBZR,SOT-23,60.4875,-123.2375,180.0,top
U11,LM2903,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,54.6875,-120.342516,0.0,top
U12,AP2171WG-7,SOT-23-5,97.9375,-121.127517,270.0,top
U13,TPD2E2U06DRL,SOT-553,45.034992,-34.2375,-90.0,top
U14,TPD2E2U06DRL,SOT-553,34.225,-116.962532,0.0,top
U15,LM66100DCKT,SOT-363_SC-70-6,100.091552,-72.833032,180.0,top
U16,AP2171WG-7,SOT-23-5,112.147499,-44.137516,90.0,top
U17,LM74700QDDF,SOT-23-8,43.8375,-119.637516,180.0,top
U18,LM74700QDDF,SOT-23-8,49.7575,-37.560016,90.0,top
U2,TS3USB30ERSWR,UQFN-10_1.4x1.8mm_P0.4mm,32.3125,-79.187532,180.0,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,56.781,-47.454992,270.0,top
U5,TPS54302,SOT-23-6,89.0875,-44.487532,90.0,top
U6,TPS54302,SOT-23-6,88.9895,-63.390032,90.0,top
U7,TLV76733DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,72.57,-48.037516,0.0,top
U8,SN74LVC2T45DCUR,VSSOP-8_2.3x2mm_P0.5mm,49.7375,-135.607517,0.0,top
U9,LM66100DCKT,SOT-363_SC-70-6,100.0275,-54.412516,180.0,top
USB1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,45.24376,-29.239683,180.0,top
USB2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,29.239683,-116.68132,-90.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,63.781,-74.0924,0.0,top
